start,duration,value
2019-12-03T16:49:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[1.634,1.609,1.609,1.609,1.609,1.609,1.609,1.609,1.609,1.634,1.634,1.584,1.609,1.609,1.609,1.609,1.609,1.609,1.609,0.742]"
2019-12-03T17:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[2.575,2.575,2.575,2.6,2.6,2.6,2.6,2.6,2.6,2.6,1.956,1.064,1.064,1.064,1.064,1.064,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,1.089,0.693]"
2019-12-03T18:19:00+01:00,[60],[0.396]
2019-12-03T19:49:00+01:00,"[60,60,60,60,60,60,60,60,60]","[0.396,0.396,0.396,0.421,0.421,0.421,0.421,0.421,0.173]"
2019-12-03T20:53:00+01:00,"[60,60]","[0.668,0.272]"
2019-12-03T22:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.173,0.198,0.148]"
2019-12-06T20:57:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[1.931,1.931,1.931,1.931,1.931,1.931,1.931,1.956,1.956,1.956,0.842]"
2019-12-06T21:14:00+01:00,"[60,60,60,60,60,60,60,60,60]","[2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.08,2.005]"
2019-12-06T21:42:00+01:00,"[60,60,60,60,60]","[0.297,0.321,0.321,0.321,0.297]"
2019-12-06T21:53:00+01:00,"[60,60,60,60]","[0.346,0.346,0.346,0.321]"
2019-12-06T22:03:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.569,0.569,0.569,0.594,0.594,0.594,0.594,0.594,0.594,0.52,0.817,0.817,0.817,0.396]"
2019-12-06T22:41:00+01:00,"[60,60,60,60,60,60,60,60]","[0.346,0.346,0.346,0.346,0.371,0.371,0.371,0.123]"
2019-12-06T22:58:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[0.099,0.099,0.099,0.099,0.099,0.099,0.099,0.123,0.123,0.049]"
2019-12-06T23:11:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[1.436,1.436,1.436,1.436,1.461,1.461,1.461,1.461,1.461,1.139,0.668]"
2019-12-06T23:52:00+01:00,"[60,60,60,60,60,60,60,60,60]","[0.371,0.371,0.371,0.371,0.371,0.371,0.396,0.396,0.371]"
