date,value
2020-01-14,0
2020-01-13,0
2020-01-12,0
2020-01-10,0
2020-01-09,0
2020-01-07,0
2020-01-06,0
2020-01-05,0
2020-01-04,0
2020-01-03,0
2019-12-28,0
2019-12-27,0
2019-12-25,0
2019-12-19,0
2019-12-18,0
2019-12-17,0
2019-12-15,0
2019-12-14,0
2019-12-11,0
2019-12-10,0
2019-12-09,0
2019-12-08,0
2019-12-07,0
2019-12-06,0
2019-12-03,0
2019-12-02,0
