date,value
2020-01-14,848
2020-01-13,2134
2020-01-12,1844
2020-01-10,911
2020-01-09,1231
2020-01-07,626
2020-01-06,1163
2020-01-05,3517
2020-01-04,1587
2020-01-03,1240
2019-12-28,390
2019-12-27,318
2019-12-25,2633
2019-12-19,4680
2019-12-18,4299
2019-12-17,4338
2019-12-15,462
2019-12-14,5224
2019-12-11,161
2019-12-10,1967
2019-12-09,767
2019-12-08,10537
2019-12-07,5917
2019-12-06,5234
2019-12-03,3981
2019-12-02,4344
