date,value
2020-01-14,20.81
2020-01-13,52.369
2020-01-12,45.253
2020-01-10,22.356
2020-01-09,30.382
2020-01-07,15.45
2020-01-06,28.704
2020-01-05,86.803
2020-01-04,39.169
2020-01-03,30.605
2019-12-28,9.626
2019-12-27,7.849
2019-12-25,64.985
2019-12-19,115.508
2019-12-18,106.104
2019-12-17,107.067
2019-12-15,11.441
2019-12-14,129.372
2019-12-11,3.987
2019-12-10,48.712
2019-12-09,18.995
2019-12-08,260.948
2019-12-07,146.534
2019-12-06,129.619
2019-12-03,98.589
2019-12-02,107.205
